"cv_scheme","method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"classic","pr","string",0.125867477586539,0.00216763515639745,NA,0.121680006221098,0.13017769737369
"block","pr","string",0.129870308398914,0.00219622610875028,NA,0.125626135660655,0.134235854013073
"representative","pr","string",0.137381308677578,0.00224796414762896,NA,0.133034482722024,0.141846926714989
"classic","randomraw","string",0.0946955390369399,0.00191682712723287,NA,0.0910047724093764,0.09851976448132
"block","randomraw","string",0.067132334869061,0.00164037797215496,NA,0.0639878230430024,0.070419749607326
"representative","randomraw","string",0.0743229223585979,0.00171883689864372,NA,0.0710234963612252,0.077762794110647
"classic","random","string",0.0598786519038262,0.00155559411294213,NA,0.0569014405269247,0.0630012315766699
"block","random","string",0.0594608735351596,0.001550519178933,NA,0.0564936729692238,0.0625735837960997
"representative","random","string",0.0605163675099628,0.00156329870654327,NA,0.0575239573697804,0.0636539300218163
"classic","EGAD","string",0.470767631983108,0.00312644785278146,NA,0.464644617705004,0.476899456668837
"block","EGAD","string",0.255437825669084,0.00281877460041348,NA,0.249952483325122,0.261001657380203
"representative","EGAD","string",0.298945458886463,0.00294427544718579,NA,0.293206916223437,0.304747888418481
"classic","ppr","string",0.586730598122033,0.00300872657925653,NA,0.580821429629525,0.592614892301344
"block","ppr","string",0.376431210314283,0.00308331669215047,NA,0.370407516551922,0.382493350652376
"representative","ppr","string",0.464215491375983,0.00312759196354105,NA,0.458091235052655,0.470350559250356
"classic","raw","string",0.642050082302051,0.00288782903709289,NA,0.636370458853754,0.647690107056043
"block","raw","string",0.422367521444456,0.00312056020511748,NA,0.416263534931706,0.428495311894582
"representative","raw","string",0.524564612227006,0.00309462215362018,NA,0.518495937866649,0.530626040255792
"classic","gm","string",0.31683733410082,0.0029854823763423,NA,0.311015079787283,0.32271752987425
"block","gm","string",0.156978941255097,0.00237224100507232,NA,0.152385268357147,0.161684676183358
"representative","gm","string",0.140783029531104,0.00227061273741835,NA,0.13639124681707,0.145292435687993
"classic","mc","string",0.567711820844232,0.0030405770102148,NA,0.561742878294445,0.57366116773462
"block","mc","string",0.364715249431724,0.00306864884176723,NA,0.358722190774436,0.370750546117672
"representative","mc","string",0.461399807703709,0.00312789897658123,NA,0.455275380880146,0.467535908898895
"classic","z","string",0.625327692155454,0.00292885730802133,NA,0.619569844865745,0.631050288478172
"block","z","string",0.391058573267815,0.00309863363501232,NA,0.385002517310697,0.397148373386364
"representative","z","string",0.495673427792358,0.00311665706344128,NA,0.489565841823045,0.501782305270759
"classic","knn","string",0.586734702837084,0.00300871917317991,NA,0.580825548293426,0.592618981939724
"block","knn","string",0.408727903847784,0.00311280005619591,NA,0.402641275765286,0.414842644539681
"representative","knn","string",0.450316215078896,0.00312802319101759,NA,0.444193249952587,0.456454267331453
"classic","wsld","string",0.583284920424441,0.00301486245210594,NA,0.57736420248091,0.589181712560879
"block","wsld","string",0.407163947225039,0.00311173470538016,NA,0.401079654581626,0.413276848707257
"representative","wsld","string",0.447137723208246,0.00312773820100899,NA,0.441015807855571,0.45327570911306
"classic","COSNet","string",0.351887142697236,0.00305008470345131,NA,0.345932545513687,0.357888153508751
"block","COSNet","string",0.136819583046341,0.00224417822409267,NA,0.132480270836632,0.141277880334182
"representative","COSNet","string",0.250660311755695,0.00280265300198394,NA,0.245207364151276,0.256193363161593
"classic","bagsvm","string",0.628973169854477,0.0029202476215781,NA,0.623231715999706,0.634678417064618
"block","bagsvm","string",0.412485471465517,0.00311521142451567,NA,0.406393523638593,0.418604341476459
"representative","bagsvm","string",0.511801408492715,0.00310576209050324,NA,0.505712777253327,0.517886539833455
"classic","rf","string",0.638341397631554,0.00289726782060355,NA,0.632643756349193,0.644000396428696
"block","rf","string",0.418427815941046,0.00311859955488527,NA,0.412328291271108,0.424552385521091
"representative","rf","string",0.487346218189322,0.00312088481845626,NA,0.481231596098568,0.493464629910784
"classic","svm","string",0.586947275115054,0.00300833531773213,NA,0.581038843564811,0.592830772824246
"block","svm","string",0.354710310639233,0.00305439788020726,NA,0.348746801885851,0.360719311956396
"representative","svm","string",0.422099915293432,0.00312043420904406,NA,0.415996217734247,0.42822750099078
"classic","pr","omnipath",0.0821244530071001,0.00149138157896749,NA,0.0792483639300348,0.0850952747120305
"block","pr","omnipath",0.084871236398464,0.00151599246823249,NA,0.0819467470318128,0.0878901022837434
"representative","pr","omnipath",0.0900490635349709,0.00156124603879225,NA,0.0870355622045329,0.0931562572781049
"classic","randomraw","omnipath",0.0610294255710855,0.00128580347063747,NA,0.0585574172689361,0.0635987402642796
"block","randomraw","omnipath",0.0428021765796289,0.00107605394341537,NA,0.0407420891663888,0.0449615480703988
"representative","randomraw","omnipath",0.0475194936016665,0.00113410412072837,NA,0.0453454380402647,0.0497923461905093
"classic","random","omnipath",0.0380700954281345,0.00101446691899229,NA,0.0361308892568596,0.0401090510326638
"block","random","omnipath",0.0377983594601129,0.00101081577755156,NA,0.0358663186149599,0.0398301756300826
"representative","random","omnipath",0.0384850550288035,0.00102001733319517,NA,0.0365349560245584,0.040534863780804
"classic","EGAD","omnipath",0.355972816792893,0.00288337711359929,NA,0.350341778875944,0.361643979612974
"block","EGAD","omnipath",0.175716747290688,0.00215813082968417,NA,0.171526865528853,0.17998674036043
"representative","EGAD","omnipath",0.209465850252133,0.00233825142660584,NA,0.204919805958601,0.214085590653742
"classic","ppr","omnipath",0.468701598432873,0.00308763002402503,NA,0.462654851575152,0.474757550240048
"block","ppr","omnipath",0.272783189537772,0.00261662902018138,NA,0.267684923123631,0.277941703037037
"representative","ppr","omnipath",0.349961880548025,0.0028675350238937,NA,0.344362655169615,0.355602768632368
"classic","raw","omnipath",0.527085867189104,0.00312525512562622,NA,0.520956708567544,0.533206872524325
"block","raw","omnipath",0.312408009369784,0.00275669755894147,NA,0.307030637748893,0.31783636448767
"representative","raw","omnipath",0.406733392473553,0.00299692975831692,NA,0.400873112293831,0.412620341553196
"classic","gm","omnipath",0.223711303336702,0.00240724093587628,NA,0.219028634819969,0.228464797128402
"block","gm","omnipath",0.103706431771835,0.00167417752284584,NA,0.100470707196438,0.107033965300387
"representative","gm","omnipath",0.0924043286181546,0.00158136335248495,NA,0.0893512507867115,0.09555078218383
"classic","mc","omnipath",0.449348811704612,0.00306490544559497,NA,0.443349379508975,0.455363016189247
"block","mc","omnipath",0.262932911691139,0.00257791963367709,NA,0.257911601621802,0.268016674517075
"representative","mc","omnipath",0.347389872758458,0.00286059858817253,NA,0.341804566910279,0.353017495553641
"classic","z","omnipath",0.509099102720409,0.00311864733185313,NA,0.502985610493257,0.515209874641027
"block","z","omnipath",0.285225232858209,0.00266326609303614,NA,0.28003415687662,0.290473713490815
"representative","z","omnipath",0.379156423691921,0.0029396914306055,NA,0.373412012125303,0.384934916316376
"classic","knn","omnipath",0.468705813910964,0.00308763442031368,NA,0.462659057826588,0.474761773721466
"block","knn","omnipath",0.300472212311224,0.00271707544369249,NA,0.295173910038988,0.305824352508068
"representative","knn","omnipath",0.337329713142148,0.00283255258777367,NA,0.331800633803891,0.342903646433217
"classic","wsld","omnipath",0.465168873631317,0.00308386095647175,NA,0.459130024445447,0.471217951354688
"block","wsld","omnipath",0.29911293468525,0.00271242505416821,NA,0.293823905973492,0.304456122957674
"representative","wsld","omnipath",0.334463469813856,0.0028242936190033,NA,0.328950932638679,0.340021577271914
"classic","COSNet","omnipath",0.252263224257672,0.00253415900338098,NA,0.247328837647245,0.257262407135834
"block","COSNet","omnipath",0.0896607545142963,0.00155790196273367,NA,0.0866538315432913,0.0927614217838541
"representative","COSNet","omnipath",0.17208566094591,0.0021372346849371,NA,0.167937054291617,0.176315035487209
"classic","bagsvm","omnipath",0.512994730555262,0.00312045753679257,NA,0.506877105564488,0.51910846473523
"block","bagsvm","omnipath",0.303745815527606,0.00272815864733828,NA,0.298425406237494,0.309119285233277
"representative","bagsvm","omnipath",0.394458493208844,0.00297274848601648,NA,0.388647262100909,0.400299721493669
"classic","rf","omnipath",0.523070849686431,0.00312416826833591,NA,0.516944430705867,0.529190334396987
"block","rf","omnipath",0.308945394876621,0.00274542600538423,NA,0.303590527411752,0.314352079449932
"representative","rf","omnipath",0.371345358950229,0.00292156157816861,NA,0.365637502052925,0.377089352870721
"classic","svm","omnipath",0.468924145339679,0.00308786178654934,NA,0.462876912024229,0.474980519015383
"block","svm","omnipath",0.25460109921751,0.0025439131064575,NA,0.249647344143939,0.259619141179413
"representative","svm","omnipath",0.312172420611339,0.00275593640576568,NA,0.30679656894978,0.317599312629101
